2026-05-28 04:37:24,767 | Testing | INFO | Test cases saved to: E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/test_cases.csv
2026-05-28 04:37:24,768 | Testing | INFO | Testing accuracy: 50.00% saved to: E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/testing_accuracy.txt
2026-05-28 04:37:24,768 | PipelineRunner | INFO | Model Testing has been completed
2026-05-28 04:37:24,768 | PipelineRunner | INFO | Pipeline run has been completed
2026-05-28 04:37:24,768 | Main | INFO | Ml build pipeline has been completed
2026-05-28 04:44:31,578 | Main | INFO | Starting the Ml build pipeline
2026-05-28 04:44:31,578 | PipelineRunner | INFO | Starting the Pipeline
2026-05-28 04:44:31,578 | PipelineRunner | INFO | Loading the configurations
2026-05-28 04:44:31,580 | PipelineRunner | INFO | Fetched the Data path
2026-05-28 04:44:31,580 | PipelineRunner | INFO | Reading the Data file
2026-05-28 04:44:31,585 | PipelineRunner | INFO | Data file has been read successfully
2026-05-28 04:44:31,586 | PipelineRunner | INFO | Performing data validations on the data file
2026-05-28 04:44:31,586 | validaation | INFO | Checking for the presence of the required columns in the dataset
2026-05-28 04:44:31,586 | validaation | INFO | All the columns are present in the dataset
2026-05-28 04:44:31,586 | validaation | INFO | Renaming the columns in the dataset
2026-05-28 04:44:31,587 | validaation | INFO | Columns have been renamed successfully
2026-05-28 04:44:31,587 | PipelineRunner | INFO | Data Validation completed
2026-05-28 04:44:31,587 | PipelineRunner | INFO | Getting the prediction columns
2026-05-28 04:44:31,587 | PipelineRunner | INFO | Prediction column fetched successfully
2026-05-28 04:44:31,587 | PipelineRunner | INFO | Getting the Augmentation factor and Noise factor
2026-05-28 04:44:31,587 | PipelineRunner | INFO | Spliting the data set into train and test
2026-05-28 04:44:31,590 | PipelineRunner | INFO | Performing Data augmentatino on the training data
2026-05-28 04:44:31,590 | Data Augmentation | INFO | Starting the data augmentation process
2026-05-28 04:44:31,599 | Data Augmentation | INFO | Data augmentation process has beem completed
2026-05-28 04:44:31,600 | Data Augmentation | INFO | Merging the augmented data with the original training data
2026-05-28 04:44:31,600 | Data Augmentation | INFO | Merging completed successfully
2026-05-28 04:44:31,601 | PipelineRunner | INFO | Data Augmentation completed
2026-05-28 04:44:31,601 | PipelineRunner | INFO | Building the pipeline
2026-05-28 04:44:31,602 | Pipelinebuilder | INFO | loading the cv and the scoring parameters from the config file
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Successfully loaded the parameters from the config file
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Building the decision tree pipeline
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Successfully built the decision tree pipeline
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | loading the parameter grid configuration for the grid search
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Successfully loaded the parameter grid configuration
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Setting up the GridSearchCV for the decision tree pipeline
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Successfully set up the GridSearchCV for the decision tree pipeline
2026-05-28 04:44:31,603 | Pipelinebuilder | INFO | Successfully created the GridSearchCV for the decision tree pipeline
2026-05-28 04:44:31,603 | PipelineRunner | INFO | Pipeline build has been completed
2026-05-28 04:44:31,603 | PipelineRunner | INFO | Training the model and the pipeline with the data
2026-05-28 04:44:31,605 | Training | INFO | Training the model
2026-05-28 04:44:31,605 | Training | INFO | Fitting the data into the model
2026-05-28 04:44:34,571 | Training | INFO | Getting the best model
2026-05-28 04:44:34,571 | Training | INFO | Testing the best model
2026-05-28 04:44:34,572 | Training | INFO | Testing has been completed
2026-05-28 04:44:34,572 | Training | INFO | Retrieveing the path to save the model
2026-05-28 04:44:34,572 | Training | INFO | Model path exists and proceeding to save the model
2026-05-28 04:44:34,575 | Training | INFO | Model has been successfully saved
2026-05-28 04:44:34,575 | Training | INFO | Calculating the accuracy
2026-05-28 04:44:34,576 | Training | INFO | Accuracy has been saved to the file in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/accuracy.txt
2026-05-28 04:44:34,576 | Training | INFO | Generating the classification report
2026-05-28 04:44:34,582 | Training | INFO | Classification report has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/classification_report.txt
2026-05-28 04:44:34,582 | Training | INFO | Calculating the recall score
2026-05-28 04:44:34,584 | Training | INFO | Recall score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/recall.txt
2026-05-28 04:44:34,584 | Training | INFO | Calculating the precision score
2026-05-28 04:44:34,586 | Training | INFO | Precision score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/precision.txt
2026-05-28 04:44:34,586 | Training | INFO | Calculating the F1 score
2026-05-28 04:44:34,589 | Training | INFO | F1 score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/f1.txt
2026-05-28 04:44:34,589 | Training | INFO | Generating confusion matrix
2026-05-28 04:44:34,778 | Training | INFO | Confusion matrix has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/confusion_matrix.png
2026-05-28 04:44:34,778 | PipelineRunner | INFO | Model training has been completed
2026-05-28 04:44:34,779 | PipelineRunner | INFO | Testing the model
2026-05-28 04:44:34,779 | Testing | INFO | Starting model testing
2026-05-28 04:44:34,784 | Testing | INFO | Test dataset created with 10 samples
2026-05-28 04:44:34,784 | Testing | INFO | Looking for model file at: E:\PythonCertificates\Network Anaomoly detection\pipeline\models/network_anomaly_model.pkl
2026-05-28 04:44:34,793 | Testing | INFO | Model loaded successfully
2026-05-28 04:44:34,794 | Testing | ERROR | Error during model testing: "['Expected_Label'] not found in axis"
2026-05-28 04:44:34,794 | PipelineRunner | ERROR | Error during pipeline execution: Model testing failed.
2026-05-28 04:44:34,794 | Main | ERROR | The Ml Build Pipeline has failed
2026-05-28 04:48:27,076 | Main | INFO | Starting the Ml build pipeline
2026-05-28 04:48:27,077 | PipelineRunner | INFO | Starting the Pipeline
2026-05-28 04:48:27,077 | PipelineRunner | INFO | Loading the configurations
2026-05-28 04:48:27,078 | PipelineRunner | INFO | Fetched the Data path
2026-05-28 04:48:27,078 | PipelineRunner | INFO | Reading the Data file
2026-05-28 04:48:27,084 | PipelineRunner | INFO | Data file has been read successfully
2026-05-28 04:48:27,085 | PipelineRunner | INFO | Performing data validations on the data file
2026-05-28 04:48:27,085 | validaation | INFO | Checking for the presence of the required columns in the dataset
2026-05-28 04:48:27,085 | validaation | INFO | All the columns are present in the dataset
2026-05-28 04:48:27,085 | validaation | INFO | Renaming the columns in the dataset
2026-05-28 04:48:27,085 | validaation | INFO | Columns have been renamed successfully
2026-05-28 04:48:27,085 | PipelineRunner | INFO | Data Validation completed
2026-05-28 04:48:27,085 | PipelineRunner | INFO | Getting the prediction columns
2026-05-28 04:48:27,086 | PipelineRunner | INFO | Prediction column fetched successfully
2026-05-28 04:48:27,086 | PipelineRunner | INFO | Getting the Augmentation factor and Noise factor
2026-05-28 04:48:27,086 | PipelineRunner | INFO | Spliting the data set into train and test
2026-05-28 04:48:27,089 | PipelineRunner | INFO | Performing Data augmentatino on the training data
2026-05-28 04:48:27,090 | Data Augmentation | INFO | Starting the data augmentation process
2026-05-28 04:48:27,107 | Data Augmentation | INFO | Data augmentation process has beem completed
2026-05-28 04:48:27,107 | Data Augmentation | INFO | Merging the augmented data with the original training data
2026-05-28 04:48:27,109 | Data Augmentation | INFO | Merging completed successfully
2026-05-28 04:48:27,110 | PipelineRunner | INFO | Data Augmentation completed
